This computer is absolutely AMAZING ! ! !	LAPTOP#GENERAL#1
10 plus hours of battery ...	BATTERY#OPERATION_PERFORMANCE#1
super fast processor and really nice graphics card..	CPU#OPERATION_PERFORMANCE#1	GRAPHICS#GENERAL#1
and plenty of storage with 250 gb ( though I will upgrade this and the ram.. )	HARD_DISC#DESIGN_FEATURES#1
This computer is really fast and I 'm shocked as to how easy it is to get used to ...	LAPTOP#OPERATION_PERFORMANCE#1	LAPTOP#USABILITY#1
I 've only had mine a day but I 'm already used to it ...	LAPTOP#USABILITY#1
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING ! ! !	LAPTOP#PORTABILITY#1	CPU#OPERATION_PERFORMANCE#1
the laptop was really good and it goes really fast just the way i thought it would of run .	LAPTOP#GENERAL#1	LAPTOP#OPERATION_PERFORMANCE#1
i would really recommend to any person out there to get this laptop cause its really worth it .	LAPTOP#GENERAL#1
and its really cheap and you wont regret buying it .	LAPTOP#PRICE#1	LAPTOP#GENERAL#1
As a computer science student in college , I find that the portability , longevity , and ease of use of this computer make me ( shockingly ) want to do homework more ;	LAPTOP#PORTABILITY#1	LAPTOP#QUALITY#1	LAPTOP#USABILITY#1
without a big ol ' clunky machine in my backpack , I feel like I can do programming homework anywhere .	LAPTOP#DESIGN_FEATURES#1	LAPTOP#PORTABILITY#1	LAPTOP#MISCELLANEOUS#1
I highly recommend this computer for students looking for a solid machine to get them through college .	LAPTOP#MISCELLANEOUS#1	LAPTOP#QUALITY#1
A great feature is the spotlight search : one can search for documents by simply typing a keyword , rather than parsing tens of file folders for a document .	OS#DESIGN_FEATURES#1
Oh my goodness-I am not a happy camper .	LAPTOP#GENERAL#-1
My HP is very heavy .	LAPTOP#DESIGN_FEATURES#-1
Not easy to carry .	LAPTOP#PORTABILITY#-1
The battery has never worked well .	BATTERY#QUALITY#-1	BATTERY#OPERATION_PERFORMANCE#-1
The battery gets so HOT it is scary .	BATTERY#QUALITY#-1
Yet , HP wo n't do anything about the problem .	SUPPORT#QUALITY#-1
I returned the computer to HP and they kept it for 3 months .	SUPPORT#QUALITY#-1
When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem .	SUPPORT#QUALITY#-1
So , you can imagine how unhappy I am with this item .	LAPTOP#GENERAL#-1
Currently if I use the laptop I ca n't sit it on my lap because it will burn my legs .	LAPTOP#QUALITY#-1
Well , they do n't care a bunch .	SUPPORT#QUALITY#-1
But , at the same time they ( the company ) would not and could not do anything about my problem .	SUPPORT#QUALITY#-1
I would say if you want to buy one of these machines be careful .	LAPTOP#GENERAL#-1
And , if you are going to deal with HP be careful .	COMPANY#GENERAL#-1
In my house , HP is a nasty word .	COMPANY#GENERAL#-1
Since I purchased my Toshiba netbook , I have been very pleased with it , I have a laptob and a desktop .	LAPTOP#GENERAL#1
The netbook is easier for me to take to bed and carry around with me .	LAPTOP#PORTABILITY#1
The screen takes some getting use to , because it is smaller than the laptop .	DISPLAY#USABILITY#0	DISPLAY#DESIGN_FEATURES#0
I have not have any problems .	LAPTOP#GENERAL#1
The Notebook PC , Toshiba Qosmio is the best gift my father could have ever gotten me .	LAPTOP#GENERAL#1
He gave me this PC about 3 years ago and up to this point im still sitting here using it .	LAPTOP#QUALITY#1
Its still going .	LAPTOP#QUALITY#1
It is in the best condition and has a really high quality .	LAPTOP#QUALITY#1
This is something i would deffinately reccomend to someone .	LAPTOP#GENERAL#1
You will not regret buying such a great thing like this !	LAPTOP#GENERAL#1
It ca n't get any better .	LAPTOP#GENERAL#1
Waited on getting this computer , but it has been a great change .	LAPTOP#GENERAL#1
Ease of use is just one of the benefits I love about my Mac .	LAPTOP#USABILITY#1
This laptop meets every expectation and Windows 7 is great !	LAPTOP#GENERAL#1	OS#GENERAL#1
It 's fast , it 's easy easy easy to set up , easy to hook to my wireless network .	LAPTOP#OPERATION_PERFORMANCE#1	LAPTOP#USABILITY#1	LAPTOP#CONNECTIVITY#1
It 's even easy to hook up to other wireless networks .	LAPTOP#CONNECTIVITY#1
The battery does n't last long but I 'm sure an upgrade battery would solve that problem .	BATTERY#OPERATION_PERFORMANCE#0
I do n't use my laptop in a way though that needs a long battery life so it 's perfect for me .	BATTERY#OPERATION_PERFORMANCE#1
Most everything is fine with this machine : speed , capacity , build .	LAPTOP#GENERAL#1	LAPTOP#OPERATION_PERFORMANCE#1	HARD_DISC#DESIGN_FEATURES#1	LAPTOP#QUALITY#1
The only thing I do n't understand is that the resolution of the screen is n't high enough for some pages , such as Yahoo ! Mail .	DISPLAY#QUALITY#-1
I bought it for really cheap also and it 's AMAZING .	LAPTOP#PRICE#1	LAPTOP#GENERAL#1
Recommended to people as their first laptop .	LAPTOP#MISCELLANEOUS#1
Plain and simple , it ( laptop ) runs great and loads fast .	LAPTOP#OPERATION_PERFORMANCE#1
Easy to carry , can be taken anywhere , can be hooked up to printers , headsets .	LAPTOP#PORTABILITY#1	LAPTOP#CONNECTIVITY#1
I 'm already hooked on the sleek look and dependability that this laptop has shown .	LAPTOP#DESIGN_FEATURES#1	LAPTOP#QUALITY#1
Being a PC user my whole life , it 's taking a bit of time to adapt to the OS of a Mac but I 'm finding my way around .	OS#USABILITY#0
The unibody design is edgy and durable .	LAPTOP#DESIGN_FEATURES#1	LAPTOP#QUALITY#1
The LED backlit display makes my pictures pop so much more .	DISPLAY#DESIGN_FEATURES#1
